Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
91,20,9,98,0,Some Random Commen with Id 91
92,20,9,3,5,Some Random Commen with Id 92
93,20,9,163,5,Some Random Commen with Id 93
94,20,9,113,2,Some Random Commen with Id 94
95,20,9,76,9,Some Random Commen with Id 95
96,20,9,133,7,Some Random Commen with Id 96
97,20,9,38,6,Some Random Commen with Id 97
98,20,9,86,3,Some Random Commen with Id 98
99,21,1,102,7,Some Random Commen with Id 99
100,22,2,151,4,Some Random Commen with Id 100
101,22,2,56,3,Some Random Commen with Id 101
102,22,2,105,1,Some Random Commen with Id 102
103,22,2,165,2,Some Random Commen with Id 103
104,22,2,12,9,Some Random Commen with Id 104
105,22,2,33,9,Some Random Commen with Id 105
106,22,2,125,2,Some Random Commen with Id 106
107,23,5,47,4,Some Random Commen with Id 107
108,23,5,153,5,Some Random Commen with Id 108
109,23,5,23,1,Some Random Commen with Id 109
110,23,5,57,4,Some Random Commen with Id 110
111,23,5,195,0,Some Random Commen with Id 111
112,24,9,47,3,Some Random Commen with Id 112
113,24,9,2,9,Some Random Commen with Id 113
114,25,2,155,6,Some Random Commen with Id 114
115,25,2,130,9,Some Random Commen with Id 115
116,25,2,68,3,Some Random Commen with Id 116
117,25,2,105,1,Some Random Commen with Id 117
118,26,1,140,1,Some Random Commen with Id 118
119,26,1,113,5,Some Random Commen with Id 119
120,26,1,20,8,Some Random Commen with Id 120
121,26,1,79,7,Some Random Commen with Id 121
122,26,1,131,0,Some Random Commen with Id 122
123,26,1,18,7,Some Random Commen with Id 123
124,26,1,133,3,Some Random Commen with Id 124
125,27,5,185,7,Some Random Commen with Id 125
126,27,5,127,2,Some Random Commen with Id 126
127,27,5,160,3,Some Random Commen with Id 127
128,27,5,89,5,Some Random Commen with Id 128
129,27,5,160,0,Some Random Commen with Id 129
130,28,9,165,8,Some Random Commen with Id 130
131,28,9,45,3,Some Random Commen with Id 131
132,28,9,53,1,Some Random Commen with Id 132
133,28,9,71,1,Some Random Commen with Id 133
134,28,9,150,8,Some Random Commen with Id 134
135,28,9,114,3,Some Random Commen with Id 135
136,29,5,127,1,Some Random Commen with Id 136
137,29,5,56,0,Some Random Commen with Id 137
138,29,5,121,2,Some Random Commen with Id 138
139,30,8,27,8,Some Random Commen with Id 139
140,30,8,7,1,Some Random Commen with Id 140
141,30,8,5,1,Some Random Commen with Id 141
142,30,8,102,1,Some Random Commen with Id 142
143,30,8,170,9,Some Random Commen with Id 143
144,30,8,196,6,Some Random Commen with Id 144
145,30,8,113,6,Some Random Commen with Id 145
146,30,8,67,0,Some Random Commen with Id 146
147,31,2,136,7,Some Random Commen with Id 147
148,31,2,45,1,Some Random Commen with Id 148
149,31,2,157,7,Some Random Commen with Id 149
150,31,2,122,3,Some Random Commen with Id 150
151,31,2,176,9,Some Random Commen with Id 151
152,31,2,87,8,Some Random Commen with Id 152
153,31,2,59,1,Some Random Commen with Id 153
154,32,1,136,2,Some Random Commen with Id 154
155,32,1,68,3,Some Random Commen with Id 155
156,32,1,1,6,Some Random Commen with Id 156
157,33,5,2,1,Some Random Commen with Id 157
158,33,5,22,7,Some Random Commen with Id 158
159,33,5,36,9,Some Random Commen with Id 159
160,33,5,140,4,Some Random Commen with Id 160
161,33,5,142,5,Some Random Commen with Id 161
162,33,5,20,4,Some Random Commen with Id 162
163,34,7,32,8,Some Random Commen with Id 163
164,35,3,167,2,Some Random Commen with Id 164
165,35,3,68,0,Some Random Commen with Id 165
166,35,3,147,0,Some Random Commen with Id 166
167,35,3,8,8,Some Random Commen with Id 167
168,35,3,121,0,Some Random Commen with Id 168
169,35,3,117,6,Some Random Commen with Id 169
170,35,3,180,5,Some Random Commen with Id 170
171,35,3,35,7,Some Random Commen with Id 171
172,37,1,116,2,Some Random Commen with Id 172
173,39,6,33,2,Some Random Commen with Id 173
